"id","host_is_superhost","host_identity_verified","neighborhood","room_type","accommodates","bathrooms","bedrooms","beds","price","logprice","logacc"
1948096,0,1,"BackBay","Entirehome/apt",4,1.5,2,2,405,6.00388706710654,1.38629436111989
1961034,0,0,"Brighton","Entirehome/apt",2,1,1,2,114,4.7361984483945,0.693147180559945
1964878,0,1,"BackBay","Entirehome/apt",5,1,2,3,293,5.68017260901707,1.6094379124341
2108738,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
2114274,1,1,"Allston","Privateroom",2,1,1,1,80,4.38202663467388,0.693147180559945
2141306,0,1,"Downtown","Entirehome/apt",6,1,2,2,300,5.7037824746562,1.79175946922805
2215762,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,175,5.16478597392351,0.693147180559945
2277821,1,1,"BackBay","Entirehome/apt",5,2,2,2,425,6.05208916892442,1.6094379124341
2292495,1,1,"SouthEnd","Entirehome/apt",4,1,1,1,175,5.16478597392351,1.38629436111989
2395326,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,151,5.01727983681492,0.693147180559945
2547075,0,1,"Downtown","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
2549840,0,0,"SouthEnd","Entirehome/apt",8,2.5,3,4,417,6.0330862217988,2.07944154167984
2672058,0,1,"Allston","Privateroom",2,1,1,1,85,4.44265125649032,0.693147180559945
2683284,1,1,"SouthEnd","Entirehome/apt",4,1,1,2,185,5.22035582507832,1.38629436111989
2701124,0,1,"BackBay","Entirehome/apt",4,1,1,2,280,5.63478960316925,1.38629436111989
2754975,1,1,"BeaconHill","Entirehome/apt",4,1,1,2,250,5.52146091786225,1.38629436111989
2776143,0,1,"BeaconHill","Entirehome/apt",3,1,0,2,99,4.59511985013459,1.09861228866811
2816133,0,1,"Downtown","Entirehome/apt",3,1,1,2,239,5.47646355193151,1.09861228866811
2881388,1,1,"BackBay","Entirehome/apt",7,2,3,3,695,6.54391184556479,1.94591014905531
2943893,0,1,"Brighton","Entirehome/apt",2,1,1,2,99,4.59511985013459,0.693147180559945
3060038,0,1,"Brighton","Privateroom",1,0.5,1,1,60,4.0943445622221,0
3068453,0,0,"Downtown","Entirehome/apt",3,1,0,1,175,5.16478597392351,1.09861228866811
3182652,0,1,"Downtown","Entirehome/apt",5,1.5,2,2,350,5.85793315448346,1.6094379124341
3369898,0,0,"BackBay","Entirehome/apt",2,1,1,1,189,5.24174701505964,0.693147180559945
3415245,0,0,"SouthEnd","Entirehome/apt",5,2.5,3,3,700,6.5510803350434,1.6094379124341
3544343,0,1,"Downtown","Entirehome/apt",2,1,1,1,100,4.60517018598809,0.693147180559945
3601030,1,1,"SouthEnd","Entirehome/apt",3,1,1,2,206,5.32787616878958,1.09861228866811
3601254,0,0,"BackBay","Entirehome/apt",2,1,0,1,97,4.57471097850338,0.693147180559945
3677662,0,1,"Allston","Entirehome/apt",3,1,2,2,80,4.38202663467388,1.09861228866811
3701108,0,1,"Allston","Entirehome/apt",2,1,0,1,100,4.60517018598809,0.693147180559945
3704801,0,0,"BackBay","Entirehome/apt",4,1,1,1,150,5.01063529409626,1.38629436111989
3808557,0,1,"SouthEnd","Entirehome/apt",6,1,2,3,500,6.21460809842219,1.79175946922805
3890373,1,1,"BeaconHill","Entirehome/apt",4,1,1,2,225,5.41610040220442,1.38629436111989
3930872,0,1,"Allston","Entirehome/apt",6,1,2,2,115,4.74493212836325,1.79175946922805
3991862,0,0,"Downtown","Entirehome/apt",2,2,1,1,155,5.04342511691925,0.693147180559945
4020650,0,0,"BackBay","Entirehome/apt",1,1,0,1,139,4.93447393313069,0
4044840,0,1,"BackBay","Entirehome/apt",3,1,1,2,231,5.44241771052179,1.09861228866811
4080849,0,1,"BackBay","Entirehome/apt",4,1,1,1,250,5.52146091786225,1.38629436111989
4118162,0,1,"Downtown","Entirehome/apt",2,1,1,1,279,5.63121178182137,0.693147180559945
4132983,0,1,"BackBay","Entirehome/apt",5,1,2,3,293,5.68017260901707,1.6094379124341
4148586,0,1,"BackBay","Entirehome/apt",2,1,1,1,225,5.41610040220442,0.693147180559945
4178790,0,0,"SouthEnd","Entirehome/apt",6,1.5,3,3,235,5.45958551414416,1.79175946922805
4190704,0,0,"Downtown","Entirehome/apt",3,1,0,1,220,5.39362754635236,1.09861228866811
4191592,0,1,"Brighton","Privateroom",2,1,1,1,90,4.49980967033027,0.693147180559945
4275846,0,0,"Downtown","Entirehome/apt",2,1,1,1,200,5.29831736654804,0.693147180559945
4291607,0,0,"Brighton","Entirehome/apt",2,1,0,1,90,4.49980967033027,0.693147180559945
4294557,0,0,"SouthEnd","Entirehome/apt",5,2.5,3,3,280,5.63478960316925,1.6094379124341
4358181,1,0,"BackBay","Entirehome/apt",2,1,0,1,110,4.70048036579242,0.693147180559945
4364989,1,1,"SouthEnd","Entirehome/apt",4,1,1,2,175,5.16478597392351,1.38629436111989
4377247,0,1,"BackBay","Entirehome/apt",3,1,1,1,259,5.55682806169954,1.09861228866811
4387413,0,1,"SouthEnd","Privateroom",1,1,1,1,58,4.06044301054642,0
4410765,0,1,"Brighton","Entirehome/apt",5,2,3,4,120,4.78749174278205,1.6094379124341
4446413,0,1,"BackBay","Entirehome/apt",5,1,2,3,293,5.68017260901707,1.6094379124341
4461901,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
4489490,0,1,"BeaconHill","Entirehome/apt",2,1,0,1,229,5.43372200355424,0.693147180559945
4490826,0,1,"BackBay","Entirehome/apt",5,1,2,3,293,5.68017260901707,1.6094379124341
4500409,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
4510513,0,1,"Downtown","Entirehome/apt",2,1,0,1,259,5.55682806169954,0.693147180559945
4546333,0,1,"BeaconHill","Entirehome/apt",2,1,0,1,219,5.3890717298165,0.693147180559945
4566095,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,130,4.86753445045558,0.693147180559945
4603588,1,0,"BackBay","Entirehome/apt",2,1,1,1,113,4.72738781871234,0.693147180559945
4603803,0,1,"BackBay","Privateroom",2,1,1,1,100,4.60517018598809,0.693147180559945
4630071,1,1,"Brighton","Entirehome/apt",1,1,1,1,50,3.91202300542815,0
4632511,0,1,"BeaconHill","Entirehome/apt",4,1.5,2,2,305,5.72031177660741,1.38629436111989
4644455,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,197,5.28320372873799,0.693147180559945
4759640,0,1,"Downtown","Entirehome/apt",2,1.5,0,1,200,5.29831736654804,0.693147180559945
4860853,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,175,5.16478597392351,0.693147180559945
4870883,0,1,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
4887325,0,0,"BackBay","Privateroom",1,1,1,1,100,4.60517018598809,0
4909590,1,1,"Allston","Entirehome/apt",3,1,0,4,99,4.59511985013459,1.09861228866811
4995033,1,1,"BeaconHill","Entirehome/apt",3,1,2,2,200,5.29831736654804,1.09861228866811
5012354,0,1,"SouthEnd","Entirehome/apt",2,2.5,1,1,200,5.29831736654804,0.693147180559945
5064995,1,1,"BeaconHill","Entirehome/apt",2,1,2,2,147,4.99043258677874,0.693147180559945
5074924,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,175,5.16478597392351,0.693147180559945
5153080,1,1,"SouthEnd","Privateroom",2,1,1,1,134,4.89783979995091,0.693147180559945
5215982,0,1,"Downtown","Entirehome/apt",2,1,1,1,285,5.65248918026865,0.693147180559945
5241043,1,1,"BeaconHill","Privateroom",3,1,1,2,80,4.38202663467388,1.09861228866811
5295491,0,1,"Brighton","Privateroom",2,1,1,1,145,4.97673374242057,0.693147180559945
5359697,0,0,"BackBay","Entirehome/apt",2,1,0,1,75,4.31748811353631,0.693147180559945
5454513,0,0,"BackBay","Entirehome/apt",5,2,2,3,429,6.06145691892802,1.6094379124341
5455293,0,0,"BackBay","Entirehome/apt",5,2,2,3,429,6.06145691892802,1.6094379124341
5532549,0,1,"SouthEnd","Entirehome/apt",6,1,2,3,250,5.52146091786225,1.79175946922805
5582163,0,0,"SouthEnd","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
5593939,0,1,"Allston","Entirehome/apt",4,1,1,2,100,4.60517018598809,1.38629436111989
5606682,0,0,"Brighton","Entirehome/apt",6,1,2,2,166,5.11198778835654,1.79175946922805
5661246,0,1,"Allston","Entirehome/apt",2,1,0,1,125,4.8283137373023,0.693147180559945
5690424,0,0,"BeaconHill","Entirehome/apt",7,2,4,4,637,6.45676965557216,1.94591014905531
5690640,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,295,5.68697535633982,0.693147180559945
5714786,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,175,5.16478597392351,0.693147180559945
5718801,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
5718921,0,0,"SouthEnd","Entirehome/apt",5,1,2,2,300,5.7037824746562,1.6094379124341
5725804,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,130,4.86753445045558,0.693147180559945
5762866,0,0,"Allston","Entirehome/apt",4,1,1,1,130,4.86753445045558,1.38629436111989
5768819,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
5769127,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
5826159,0,1,"SouthEnd","Entirehome/apt",2,1,1,1,195,5.27299955856375,0.693147180559945
5885130,0,0,"SouthEnd","Entirehome/apt",2,1,1,1,295,5.68697535633982,0.693147180559945
5903001,0,1,"BackBay","Entirehome/apt",2,1,1,1,270,5.59842195899838,0.693147180559945
5932402,0,1,"SouthEnd","Privateroom",2,1,1,1,100,4.60517018598809,0.693147180559945
5959740,0,0,"Brighton","Privateroom",2,1.5,1,1,75,4.31748811353631,0.693147180559945
5976821,1,1,"SouthEnd","Sharedroom",3,1,1,1,95,4.55387689160054,1.09861228866811
6066455,1,1,"BeaconHill","Entirehome/apt",8,2,4,5,600,6.39692965521615,2.07944154167984
6068207,0,0,"SouthEnd","Privateroom",2,1,1,1,120,4.78749174278205,0.693147180559945
6075481,0,1,"BackBay","Entirehome/apt",4,1,0,1,175,5.16478597392351,1.38629436111989
6181758,0,0,"Downtown","Entirehome/apt",4,1,2,2,225,5.41610040220442,1.38629436111989
6198818,0,1,"BackBay","Entirehome/apt",2,1,0,1,200,5.29831736654804,0.693147180559945
6213822,0,0,"BackBay","Entirehome/apt",5,2,2,3,429,6.06145691892802,1.6094379124341
6239039,0,0,"SouthEnd","Privateroom",2,1,1,1,100,4.60517018598809,0.693147180559945
6287797,0,1,"SouthEnd","Privateroom",2,1,1,1,90,4.49980967033027,0.693147180559945
6323935,0,0,"BackBay","Entirehome/apt",2,1,1,1,161,5.08140436498446,0.693147180559945
6370235,1,1,"Allston","Entirehome/apt",5,1,2,3,175,5.16478597392351,1.6094379124341
6400348,0,0,"BeaconHill","Privateroom",2,1,1,1,200,5.29831736654804,0.693147180559945
6410674,0,1,"BeaconHill","Privateroom",1,1,1,1,130,4.86753445045558,0
6426364,1,1,"SouthEnd","Entirehome/apt",4,1,1,1,200,5.29831736654804,1.38629436111989
6476613,0,0,"Allston","Privateroom",2,0,1,1,60,4.0943445622221,0.693147180559945
6552654,0,0,"BackBay","Entirehome/apt",2,1,1,1,161,5.08140436498446,0.693147180559945
6554785,1,1,"BeaconHill","Entirehome/apt",2,1,0,1,160,5.07517381523383,0.693147180559945
6596242,0,1,"Downtown","Entirehome/apt",2,1,1,2,185,5.22035582507832,0.693147180559945
6600417,0,0,"BeaconHill","Privateroom",2,1,1,1,180,5.19295685089021,0.693147180559945
6646604,0,0,"Brighton","Entirehome/apt",3,1,1,2,90,4.49980967033027,1.09861228866811
6677640,1,1,"BeaconHill","Entirehome/apt",3,1,1,1,200,5.29831736654804,1.09861228866811
6685682,0,0,"BackBay","Entirehome/apt",4,1,1,2,259,5.55682806169954,1.38629436111989
6716872,0,1,"Brighton","Privateroom",1,1,1,1,200,5.29831736654804,0
6758443,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6758462,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6758482,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6759004,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6759439,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6761345,0,0,"Allston","Privateroom",1,1,1,1,60,4.0943445622221,0
6810723,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6823628,1,0,"BackBay","Entirehome/apt",2,1,0,1,114,4.7361984483945,0.693147180559945
6838488,0,1,"Allston","Entirehome/apt",12,2.5,4,6,350,5.85793315448346,2.484906649788
6850880,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,200,5.29831736654804,0.693147180559945
6851460,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6854357,0,1,"Allston","Privateroom",2,1,1,1,45,3.80666248977032,0.693147180559945
6879036,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6882615,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6908525,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
6921241,0,1,"BackBay","Entirehome/apt",4,1,1,1,230,5.4380793089232,1.38629436111989
6923942,0,0,"Allston","Privateroom",1,1,1,1,120,4.78749174278205,0
6976414,0,0,"Allston","Privateroom",4,2,2,2,88,4.47733681447821,1.38629436111989
7054912,0,1,"Downtown","Entirehome/apt",2,1,1,1,225,5.41610040220442,0.693147180559945
7125052,0,0,"BackBay","Privateroom",2,1.5,1,1,275,5.61677109766657,0.693147180559945
7214920,0,1,"SouthEnd","Entirehome/apt",4,1,2,2,250,5.52146091786225,1.38629436111989
7240149,0,1,"BackBay","Entirehome/apt",3,1,1,1,300,5.7037824746562,1.09861228866811
7294565,0,1,"SouthEnd","Privateroom",2,1.5,1,1,85,4.44265125649032,0.693147180559945
7310887,1,1,"Brighton","Entirehome/apt",5,1,3,4,285,5.65248918026865,1.6094379124341
7342359,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,250,5.52146091786225,0.693147180559945
7346760,0,1,"Allston","Privateroom",2,1,1,1,54,3.98898404656427,0.693147180559945
7395978,0,1,"Allston","Privateroom",2,1,1,1,100,4.60517018598809,0.693147180559945
7475052,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7475573,0,0,"BackBay","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7476340,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7513605,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7513906,0,0,"Downtown","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7527864,0,1,"BeaconHill","Privateroom",1,1,1,1,125,4.8283137373023,0
7531700,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7540480,1,0,"SouthEnd","Entirehome/apt",4,1,1,2,175,5.16478597392351,1.38629436111989
7592616,0,1,"SouthEnd","Entirehome/apt",2,1,1,1,140,4.9416424226093,0.693147180559945
7633883,0,0,"BeaconHill","Entirehome/apt",6,2,3,3,769,6.64509096950564,1.79175946922805
7635616,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7659268,0,1,"Brighton","Privateroom",1,1,1,1,35,3.55534806148941,0
7694365,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7694559,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7713815,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7714627,1,1,"SouthEnd","Entirehome/apt",3,1,1,1,215,5.37063802812766,1.09861228866811
7728499,0,0,"Downtown","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7728508,0,0,"BackBay","Entirehome/apt",2,1,0,1,301,5.70711026474888,0.693147180559945
7731797,0,0,"BackBay","Entirehome/apt",2,1,0,1,309,5.73334127689775,0.693147180559945
7735518,1,0,"Brighton","Privateroom",4,3,1,2,172,5.14749447681345,1.38629436111989
7832890,0,0,"Downtown","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7837202,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7840797,0,0,"BackBay","Entirehome/apt",7,2,3,4,429,6.06145691892802,1.94591014905531
7853079,0,0,"BackBay","Entirehome/apt",6,1,3,3,568,6.34212141872115,1.79175946922805
7854872,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7868209,0,1,"Allston","Privateroom",2,1,1,1,76,4.33073334028633,0.693147180559945
7911936,0,0,"BeaconHill","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
7914359,0,0,"Downtown","Entirehome/apt",6,1,2,3,291,5.67332326717149,1.79175946922805
7928656,0,0,"BeaconHill","Entirehome/apt",4,1,1,2,150,5.01063529409626,1.38629436111989
7931331,0,0,"Allston","Entirehome/apt",6,2,2,3,371,5.91620206260743,1.79175946922805
7965521,0,0,"SouthEnd","Entirehome/apt",2,1,1,1,215,5.37063802812766,0.693147180559945
8006992,1,0,"SouthEnd","Entirehome/apt",3,1,1,1,219,5.3890717298165,1.09861228866811
8014950,1,0,"Brighton","Entirehome/apt",3,1,1,2,100,4.60517018598809,1.09861228866811
8025718,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
8052494,0,0,"BeaconHill","Entirehome/apt",2,1,1,2,143,4.96284463025991,0.693147180559945
8082512,0,0,"SouthEnd","Entirehome/apt",2,1,0,1,150,5.01063529409626,0.693147180559945
8170181,1,1,"BeaconHill","Entirehome/apt",3,1,1,1,172,5.14749447681345,1.09861228866811
8201104,1,1,"SouthEnd","Entirehome/apt",5,1.5,3,3,400,5.99146454710798,1.6094379124341
8224214,0,0,"Brighton","Entirehome/apt",6,1,3,3,165,5.10594547390058,1.79175946922805
8276020,0,1,"BackBay","Entirehome/apt",2,1,1,1,400,5.99146454710798,0.693147180559945
8301150,0,1,"Allston","Entirehome/apt",2,1,1,1,175,5.16478597392351,0.693147180559945
8301926,0,1,"SouthEnd","Privateroom",2,1,1,1,99,4.59511985013459,0.693147180559945
8302844,0,1,"Downtown","Entirehome/apt",4,1,0,2,162,5.08759633523238,1.38629436111989
8303748,0,0,"Brighton","Privateroom",2,1,1,1,47,3.85014760171006,0.693147180559945
8309604,0,1,"SouthEnd","Entirehome/apt",4,1,2,2,290,5.66988092298052,1.38629436111989
8335066,1,1,"BeaconHill","Privateroom",2,1,1,1,135,4.90527477843843,0.693147180559945
8340072,0,1,"Downtown","Entirehome/apt",4,1,1,2,225,5.41610040220442,1.38629436111989
8381472,0,0,"SouthEnd","Entirehome/apt",4,2,2,2,400,5.99146454710798,1.38629436111989
8389735,1,0,"Downtown","Entirehome/apt",4,2,2,2,600,6.39692965521615,1.38629436111989
8406972,0,1,"SouthEnd","Entirehome/apt",5,1,1,1,250,5.52146091786225,1.6094379124341
8410270,0,0,"BackBay","Entirehome/apt",2,1,1,1,160,5.07517381523383,0.693147180559945
8432166,0,0,"Downtown","Entirehome/apt",4,1,1,1,175,5.16478597392351,1.38629436111989
8439661,0,0,"SouthEnd","Entirehome/apt",6,1.5,2,2,250,5.52146091786225,1.79175946922805
8482847,1,1,"Brighton","Privateroom",2,1,1,1,65,4.17438726989564,0.693147180559945
8518237,1,1,"Brighton","Entirehome/apt",2,1,1,1,225,5.41610040220442,0.693147180559945
8595650,1,1,"SouthEnd","Entirehome/apt",4,1,1,1,175,5.16478597392351,1.38629436111989
8704828,0,0,"Allston","Privateroom",2,1,1,1,69,4.23410650459726,0.693147180559945
8751275,0,0,"Allston","Privateroom",2,1,1,1,59,4.07753744390572,0.693147180559945
8814105,0,0,"Downtown","Entirehome/apt",7,2,3,4,429,6.06145691892802,1.94591014905531
8814215,0,0,"Downtown","Entirehome/apt",7,2,3,4,429,6.06145691892802,1.94591014905531
8837755,0,0,"Downtown","Entirehome/apt",4,2,2,2,275,5.61677109766657,1.38629436111989
8884103,0,0,"BeaconHill","Privateroom",1,1,1,1,75,4.31748811353631,0
8970393,0,1,"SouthEnd","Entirehome/apt",4,1,1,2,150,5.01063529409626,1.38629436111989
9078998,0,1,"BeaconHill","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
9094794,0,0,"SouthEnd","Entirehome/apt",4,2,2,2,250,5.52146091786225,1.38629436111989
9114896,0,1,"Brighton","Entirehome/apt",4,1,2,3,60,4.0943445622221,1.38629436111989
9148781,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,160,5.07517381523383,0.693147180559945
9169272,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,130,4.86753445045558,0.693147180559945
9180947,0,1,"BackBay","Entirehome/apt",2,1,0,1,209,5.34233425196481,0.693147180559945
9197535,0,1,"SouthEnd","Privateroom",1,1,1,1,100,4.60517018598809,0
9231486,1,1,"BackBay","Entirehome/apt",6,2,2,2,300,5.7037824746562,1.79175946922805
9238963,0,1,"BackBay","Entirehome/apt",3,1,0,1,110,4.70048036579242,1.09861228866811
9327506,0,1,"BackBay","Entirehome/apt",5,2,3,3,450,6.10924758276437,1.6094379124341
9425087,0,1,"Downtown","Entirehome/apt",4,2,2,2,429,6.06145691892802,1.38629436111989
9446242,0,1,"SouthEnd","Privateroom",1,1,1,1,150,5.01063529409626,0
9473816,0,1,"BackBay","Entirehome/apt",5,1,1,2,159,5.06890420222023,1.6094379124341
9533193,0,0,"Allston","Privateroom",2,1,1,1,58,4.06044301054642,0.693147180559945
9570618,1,1,"Allston","Privateroom",3,1,1,2,120,4.78749174278205,1.09861228866811
9596153,0,1,"BeaconHill","Entirehome/apt",1,1,1,1,159,5.06890420222023,0
9677207,0,0,"BackBay","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
9685102,1,0,"Brighton","Privateroom",2,1,1,2,35,3.55534806148941,0.693147180559945
9725178,0,1,"BackBay","Entirehome/apt",2,1,0,1,199,5.29330482472449,0.693147180559945
9755993,0,1,"BeaconHill","Entirehome/apt",2,1,0,1,100,4.60517018598809,0.693147180559945
9757412,0,1,"SouthEnd","Privateroom",1,1,1,1,95,4.55387689160054,0
9770560,0,1,"Downtown","Entirehome/apt",3,1,0,1,225,5.41610040220442,1.09861228866811
9813223,1,1,"Allston","Entirehome/apt",2,1,0,2,79,4.36944785246702,0.693147180559945
9821291,0,0,"SouthEnd","Entirehome/apt",4,1,1,2,130,4.86753445045558,1.38629436111989
9853959,0,0,"SouthEnd","Entirehome/apt",4,1,1,2,195,5.27299955856375,1.38629436111989
9855805,0,0,"BackBay","Entirehome/apt",4,1,2,2,229,5.43372200355424,1.38629436111989
9857049,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,189,5.24174701505964,0.693147180559945
9864083,0,0,"SouthEnd","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
9918713,0,0,"BackBay","Entirehome/apt",5,1.5,2,3,175,5.16478597392351,1.6094379124341
9920084,0,0,"BackBay","Entirehome/apt",5,1.5,2,3,185,5.22035582507832,1.6094379124341
9922595,0,0,"Downtown","Entirehome/apt",3,1,1,2,144,4.969813299576,1.09861228866811
