userId,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film-noir,horror,imax,musical,mystery,romance,sci-fi,thriller,war,western
3054,1639.5,766.5,132.5,115,460.5,584,0,767.5,282,8,208,234,38.5,195.5,230,585,1125,121,43
3140,2094.5,1055,131,135,1318.5,1155,16.5,2483,420,81.5,413.5,274.5,78,420.5,707,1003.5,1789,364.5,160.5
3222,662.5,611.5,274,384,1162.5,465.5,33,1263,418.5,17,444,52,146,294,624.5,444,867.5,70,27.5
3316,328.5,521,458,439.5,879,85,4.5,622.5,380,0,54,150,190,51,546,222.5,154,59.5,3
3347,557.5,519.5,216,172,524.5,396.5,26.5,1246.5,362,25.5,637,122,70.5,349,314.5,417,839,100,55
3352,403.5,281,43.5,52.5,671.5,346,56.5,1357.5,186,33,123,48.5,64.5,203.5,437,254.5,503,137.5,32
3400,824,453.5,27,72.5,516,472,0,859,160.5,13,182.5,122.5,20.5,216,230,374.5,789,91.5,55.5
3414,690,534.5,138,123,425,285.5,19,789.5,260.5,16.5,95,257,39,187.5,248.5,471,543,117,20
3430,411,333.5,111.5,136.5,1063,371.5,53,1246,178.5,8,47.5,65,66,138,586.5,234.5,426,144.5,26
3519,1305.5,755.5,43,46.5,616,705,86,1712.5,226.5,25,253.5,237,41,324,364.5,685,1177,355,49
3553,253.5,282,70.5,116,1097.5,263,79.5,1172.5,192,21,151,24,147.5,150.5,527.5,165,363.5,34,4
3557,410,403.5,332,226,892.5,336.5,86.5,1011.5,258,12.5,184.5,109,165.5,185.5,316.5,258,434.5,97.5,27.5
3586,498.5,322.5,77.5,217,1155,466,15,1126,206,6.5,213.5,26.5,83.5,204.5,633,160.5,718.5,60,17.5
3656,509,546,157.5,150,822.5,371.5,40.5,1331.5,244.5,74.5,72.5,46.5,125,203,421,460,511,175,68.5
3672,494,303.5,50,78.5,840.5,350.5,20.5,829.5,151,40.5,242.5,13.5,31.5,191.5,424,303,560,77,26.5
3673,1480.5,727,96.5,70,747,854.5,36,1496.5,217,90.5,310.5,56.5,66,331.5,419,507,1270,304,234
3694,1089.5,649,112,136,1548,721,80,1106.5,343,34,643.5,56,83.5,326.5,374.5,495,1027.5,111,100
3740,751,623.5,322,255.5,594,456.5,149.5,980,306.5,26.5,134.5,122.5,53,226,234.5,437.5,686,148,50
3767,1534.5,1050,302.5,363,1045.5,526,3.5,1087,540,11,358.5,220.5,111,244.5,424.5,759.5,1157.5,184.5,111.5
3771,467.5,622,175.5,342,1835.5,265,229,2484,357,29,124.5,37,389,190.5,1308.5,323,324.5,254,57
3777,373.5,259.5,46,36,445,345,35.5,984.5,116.5,43,133,45,33,175,164.5,335.5,446.5,82,51
3778,833,666,95.5,180,1327.5,636.5,14,1794.5,337,169.5,686.5,4,179.5,439,687,621,1264.5,175,117
3780,566.5,443,82,184,1494.5,600,194,3187,230.5,22.5,53.5,105,176.5,327,1321.5,236.5,824,300,70.5
3792,596,376,83,180,1290,723.5,27,2235.5,204,50,199,13,155,349,721,267,1043,169,93.5
3910,466,556.5,241.5,316,1170,434.5,7,1546.5,270,91.5,76,56,143.5,245,742,208.5,590,209,95
3948,356.5,306.5,166,186,802,333,103.5,945,226,9,91,31.5,63,141.5,278.5,248,414,81,11
3950,644,527,134,221,1345.5,495,52,1378,326,45,360,13,121,258,487,541,805,88,51
4008,522,412,148.5,99,780.5,345,34,808,223,17.5,108.5,105,40.5,167.5,296.5,353.5,527.5,58.5,22
4013,723,598,190.5,221,989.5,446,78.5,1278.5,285,11.5,110.5,167,119,173,441,441,650,135.5,41.5
4073,346.5,283.5,53,68.5,1021.5,499,188,2031.5,126.5,87.5,71.5,11.5,93.5,273,623.5,197.5,614.5,139.5,30.5
4095,1034,858,294,398,1540,505,67,1581,439,14,324,234,137,201.5,599,712,829,157,46
4154,663.5,907.5,508.5,465.5,816,164,0,1064,746.5,7.5,96,273,177,109,783.5,450.5,309.5,64,26
4200,774.5,495,200,257,899.5,512,56.5,1080.5,249,15.5,382.5,66.5,102.5,242.5,294.5,432.5,841,111,17.5
4219,1144.5,1058.5,324.5,404,1160.5,312,9,971,470.5,7.5,157,244,192,137.5,609.5,889,723.5,97,34.5
4276,638,619,387,331,765,270,25,586,302,7,71,176,105,129,192,532,384,57,22
4317,173,195,51.5,70,614,332.5,48.5,1289,118,63,60.5,3,64.5,135,475.5,80,348.5,92,46
4345,1182,798.5,325,425,1554.5,494.5,23,927.5,425.5,4.5,268.5,272,128.5,202.5,545,578,853.5,85.5,42
4351,959.5,636.5,208.5,235,1498,658,36.5,1873,405,19.5,412.5,204,90.5,353,691,669,1182.5,103.5,45
4375,823,518.5,126.5,106,553,413,4,827.5,153,10,53,213.5,43,168.5,297.5,422.5,647,137,53.5
4384,1340,792,152,183,1091.5,832,25,1681.5,414.5,22.5,429.5,89.5,66,431,494.5,729.5,1457,169.5,50.5
4426,814.5,393,21,43,689,619,47.5,1175,130.5,37.5,240,18,28.5,263.5,319,312,929.5,161,52
4450,1037.5,748,273,216.5,867,399.5,61,843.5,390,17,528.5,128,69,233,244.5,762,839,99.5,38
4453,507.5,329.5,94,89,848,492,34,1130,211.5,31,77,69,51.5,204,506.5,362,658,47.5,21
4485,594.5,339.5,75,90.5,707,474.5,101,658.5,168,10.5,198,98.5,28.5,188,148.5,307,645,58.5,10.5
4493,486,480,213,242,1117,344,59.5,1550,301.5,22.5,207,89,149,270,714.5,523.5,679.5,49.5,5.5
4496,742,882.5,495.5,433,869,250,26,1050.5,560,19,105.5,258,167,146,465,423.5,391.5,111,33.5
4540,1130,734,286,347,1627.5,715,56,1613.5,457,39,542,173.5,188,366.5,769,610,1062,98.5,36.5
4547,802,590,121,161,744,273,0,509,299,11,338,8,54,124,201,599,560,111,35
4570,481.5,312.5,10,36,684,419.5,14.5,902,125,55.5,107,27,28,222,376.5,235,644,91.5,49.5
4579,1070,602.5,112,106.5,1017.5,657.5,44,1233,245,23,128,155.5,48.5,222,364,447,977,218.5,33.5
4666,297,378,122,314,2178.5,298.5,91.5,1634.5,351.5,7.5,202,21.5,144.5,162,864.5,257,385.5,90,26
4777,348,209,62,79,509,428,10,1070,105,69,150,13,60,213,359,140,564,103,28
4785,1209,753,83.5,212,1761.5,633,8,1362,321,10.5,189.5,38,68.5,238,731,509,1018,124,77.5
4831,398,250,14,12,813,455,38,1444,117,101,406,0,70,312,357,403,873,114,34
4932,1306.5,927,378.5,256,1452.5,756,40,2016,605,62,576,215.5,112.5,515,540,1041.5,1468.5,173,72
4937,622,490.5,134.5,187.5,1032,354,44.5,883.5,238.5,42.5,341,19.5,172,196.5,407,463.5,584,83.5,60.5
4964,874.5,573,182,301.5,2096.5,772,99,1893.5,372,15.5,306.5,92,62.5,408,636.5,501.5,1317.5,92,11
4997,682,508.5,204,327,1354.5,364,42.5,799.5,286.5,8.5,186,98,101,120.5,280,293,487,98.5,47
5000,588,374,38,96,788,244,13,544,156,4,92,0,41,90,234,252,389,55,24
5102,690,452.5,91.5,103,1129,627,26.5,1535,220,45,312.5,9,76.5,274,557,383,872,147.5,89
5127,861,695,282,324.5,967.5,390,74,1233.5,458,30,453.5,115,144,309.5,337,729,963,111.5,60.5
5148,706.5,403.5,93,93.5,802,515,43,877.5,161,16,172.5,36.5,34.5,190.5,272,302.5,734.5,73,14
5188,802,502,83,136,645,297.5,0,530.5,174,0,158.5,25,45.5,116.5,254,361,662.5,83,48
5229,507,420,84,254,1525,323,8,1422.5,308,7,616,10,132,208.5,1090,303,800.5,87,30
5235,880.5,682,201.5,225,706,237,2,658.5,357,0,97.5,214.5,90.5,75.5,368,406,438,139.5,26
5243,487.5,372.5,69.5,75.5,863,491,133,1518,211.5,26.5,132.5,69.5,44,220.5,460,291.5,730.5,108.5,11
5256,1033.5,777.5,179,178.5,1180.5,677.5,47.5,1656,365,38.5,258,135.5,112,323.5,600.5,594,1085,188.5,49
5300,868.5,487,29,46.5,933,819.5,157,1595,147,91,209,75.5,44.5,433,310,426.5,1180,198,52
5305,479.5,306.5,56,39.5,640.5,584,148,1282.5,153,30.5,144,24,46,214.5,262,198.5,639.5,142,60.5
5307,315.5,315.5,69.5,120.5,579.5,274.5,31,889.5,120.5,39.5,61,10,74.5,141,288,206,348,71.5,49.5
5332,1776,1191.5,399.5,351,1206.5,650.5,6.5,1135.5,482,11.5,215,311.5,54,250.5,382.5,960.5,1181,176.5,65.5
5342,972.5,583.5,135,126,1511,687,23.5,1552,260.5,16.5,199.5,167,47,252.5,624.5,441,910,114,29.5
5346,750,587.5,496.5,302.5,792,255.5,22,437.5,284.5,0,78.5,272,65.5,75,89,428.5,314.5,51,24.5
5378,695,523,107,239,1483,655,67,1866,238,95,272,12,142,268,598,321,845,213,110
5416,592.5,421,137.5,173,1148,469,48.5,1342.5,246,28.5,102.5,151.5,57.5,219,626.5,404,662,94.5,18.5
5422,807,664.5,207,227.5,776.5,315,0,856.5,330.5,20,115.5,121.5,119,151.5,492,411.5,513.5,149,83.5
5452,985,761.5,91.5,113,781,303.5,3,347.5,298.5,4.5,227,129.5,33,99.5,145.5,465.5,565,67,26.5
5472,593,402,158,222,780,347,3,823,247,21,175,16,98,141,388,310,528,80,56
5515,696.5,726.5,482,584,1317,378,39.5,1055.5,488,2,123,208,195.5,217.5,669,350.5,606,48.5,11
5523,1119.5,1016.5,452.5,417,1765,946.5,74,2859,527,119,206,240,255.5,546,942.5,566.5,1333.5,292.5,210
5565,391.5,313,104,111,787.5,472.5,74.5,1430.5,200,28.5,156.5,92.5,33,257,410,235,652.5,120,15
5584,513,414.5,142,129,599,339.5,33.5,881.5,232,20,160.5,72,52.5,211.5,326.5,305,543.5,101,32
5621,336,235,17,41,847,410,15,1253,94,85,44,8,41,225,486,143,489,136,51
5641,1657.5,1283,509.5,553.5,1861,939,575.5,2197,599,51.5,274,313,152.5,400,765,780.5,1382,371.5,58.5
5662,799,497.5,106,113.5,899.5,642.5,40,1712.5,296,30,305,69,87.5,289.5,447.5,466.5,907,169,40.5
5708,138,115,58,171,1721,118,3,521,107,1,51,0,33,12,462,53,89,53,15
5732,641.5,365.5,82,54,574,515,184.5,1116.5,195,27.5,522,34.5,37,316.5,200,435.5,975.5,133,31.5
5765,684.5,599,136.5,118.5,868,550,227.5,1846,294,58,225,159.5,70,319.5,495,445.5,802,220.5,83
5776,718,535,86,118,925,508,12,1129,190,57,171,8,90,187,399,354,623,194,120
5797,507,432.5,178.5,309.5,1046.5,310,3,946.5,259.5,4.5,112,25.5,144,120,638,164,476.5,80.5,37.5
5811,982,637.5,75,175.5,1718,572,57.5,1474,270.5,5.5,291.5,49,87.5,178.5,568.5,461,793.5,170,57
5875,939.5,651,97,174,963,457,27,1109.5,294.5,16.5,438.5,44,78.5,271.5,466,588,985.5,128.5,17
5915,1271.5,945.5,223.5,207,2096.5,1286.5,191,4109.5,425,246,390,98,157,619,1269,629,1774.5,430,271.5
5936,688,393.5,107.5,117.5,574,362,25.5,702,179,8,176,31.5,45,141.5,284,247.5,589.5,50,20
5953,1803.5,1183.5,387,367,2065,771,179,1752.5,692.5,22,800.5,271,138,444,594.5,1172.5,1733.5,168,128
5983,523.5,395.5,163,61,571,488,11,1401.5,164.5,31,85.5,96,16.5,212.5,371,453.5,710,97,45
6004,827,378,10,19,359,462,0,689,107,17,170,3,13,143,207,373,705,150,72
6008,555.5,412.5,85.5,98,502.5,401.5,0,968,165,24,70,142,20,151.5,257.5,338,494.5,87.5,20
6029,1158.5,775.5,250,155,651.5,436.5,8,726,339.5,24,179,183.5,40,137.5,112.5,648.5,688,138,77
6042,894.5,602,152,233,858.5,716,21,1192.5,288.5,34.5,281,70.5,60.5,291,306.5,399.5,1041,122.5,45
6049,315,281,68,116,735,261,13,783,146,37,77,5,115,139,348,185,371,102,40
6064,872,439,132.5,91,905.5,674.5,51.5,1357.5,200.5,25,144,54,46.5,240.5,396,290,814,208.5,67.5
6074,1018.5,741.5,38,122,981,487.5,27.5,1590,258.5,31,422,22.5,124.5,283,572,712.5,1060,203,142.5
6109,862,701,221,231,1263,526.5,35.5,1495,424.5,31.5,664.5,42.5,160.5,368,556,565.5,1007.5,187.5,67.5
6171,373.5,388,236.5,298.5,1051.5,259.5,11.5,717.5,204.5,3.5,48.5,21,177.5,103.5,532.5,162.5,326.5,62.5,31.5
6184,384,325,74,100,1033,322,72,877,150,64,50,4,82,120,395,178,359,108,40
6188,1986,1285.5,323,260,1723.5,1161,52,2806.5,448,152.5,169,194,168.5,477,768.5,919,1504.5,527,295
6201,625,455,127,175,1004,464,12,1091,247,36,206,13,139,208,464,288,694,118,60
6205,735,446.5,59.5,116,1097.5,391,14,963.5,194,4.5,212,47.5,39.5,198.5,385,432,719,99.5,49
6222,1340.5,950,255,452.5,2259,817.5,160.5,1919.5,437,23.5,375,46.5,228.5,301,702,561.5,1175.5,207.5,107
6294,1085,768,197,356,1443,644,6,1625,344,23,160,15,147,234,612,451,988,137,111
6309,727,549.5,168,161.5,579.5,430,11.5,1070.5,265,13.5,117.5,190.5,35.5,212,310.5,355.5,634,128,69
6357,622.5,650,204.5,391.5,1587,310.5,25.5,1217.5,388,8,256.5,29,197.5,185.5,814,320,588,112,47.5
6448,575,475.5,94.5,160.5,819.5,351.5,37.5,1169.5,208,24.5,215,17.5,106.5,219,468,335.5,634,160,70
6500,628,401.5,54.5,109.5,759.5,512.5,22.5,1440,204,80,342,18.5,37,337.5,490.5,371,986.5,171,74.5
6512,1055,795,240.5,354.5,1047.5,474,23,1249.5,362,9,164,291.5,109,226,468,583,891,122.5,20
6583,921,818.5,240.5,244,1135,577.5,83.5,1253,374,56.5,156.5,68,88,229,391,553,868.5,158,113
6650,527.5,488.5,71.5,141.5,709,260.5,7,1085,488,9,654.5,143.5,47.5,357.5,495.5,667.5,1021.5,47.5,25.5
6659,409,442,141,275,998,209,0,394,272,30,254,3,105,172,359,325,517,27,28
6663,1091,784,216.5,295.5,1631,487,23.5,1109,528.5,11,1046,142,128,379,595.5,853,1376.5,68.5,39
6714,563.5,506.5,126,228.5,948.5,327,16.5,1217,258.5,10.5,151,30,161,162,554,251,634,129,65
6785,1293,994.5,262,340,1378,468.5,2,1103.5,556,11.5,283,189.5,131,243,649.5,843.5,991,86.5,39
6812,2140,1277.5,298.5,313,1529.5,859,12.5,1790,619,17.5,525,403,82,410,701,1355.5,1804,237.5,67.5
6823,1317,1002.5,104.5,168,610,380,5,1161,338.5,33.5,303,20.5,105,326.5,294,923.5,1075,416,62
6833,212.5,248.5,127.5,132,1193,249.5,142,1064,180,7,91,32.5,87.5,159.5,613.5,144,310.5,40.5,0
6879,305.5,338.5,140.5,308.5,873,310.5,32,705,207,23,78.5,12,137,193.5,460,131,390.5,51.5,34
6893,531.5,462,77,142.5,938.5,493,108,1312.5,208,28.5,194.5,20,86.5,207.5,427,377,648,138.5,62.5
6894,583.5,375.5,69,32.5,416,544,28,1885,184,45,370.5,123.5,25.5,381.5,361.5,524.5,966,162.5,21
6904,978,612,134,101,487,293,8,666.5,306.5,7,239,251.5,21.5,200,209,673,725,77.5,13
6914,1132,927,255,427.5,1429.5,698.5,14,2063.5,440.5,58.5,466.5,14.5,223.5,362,642,674.5,1112,278.5,132
6926,666.5,451.5,96,143,742,389.5,16,852.5,208.5,17,135,30.5,85,169,372.5,544.5,602.5,53.5,31.5
